,Unnamed: 0,track_name,track_artist,lyrics
0,24038,Starlight,Sophie Ellis-Bextor,"[Verse 1]
Hold a moment in time
And look to the skies
When we are frozen in light
Not a second goes by
Is it a waking dream holding me?
You never really know till you know
In the blink of an eye, hearts will unite

[Chorus]
We are one
Find us under the starlight, starlight, starlight
I could die right here in your arms
We are one caught here
Under the starlight, starlight
'Cause tonight we found heaven in the dark

[Verse 2]
A silhouette in my mind
It's just you and I
And as the starlight shines
Our bodies outline
It's so natural, unbreakable
Won't ever let you go, let you go
Your hand in my hand
Here till the end

[Chorus]
We are one
Find us under the starlight, starlight, starlight
I could die right here in your arms
We are one caught here
Under the starlight, starlight
'Cause tonight we found heaven in the dark

[Bridge]
As a new day rises
Lost in our embrace
We are one

[Chorus]
We are one
Find us under the starlight, starlight, starlight
I could die right here in your arms
We are one caught here
Under the starlight, starlight
'Cause tonight we found heaven in the dark
"
1,24004,Say My Name,ODESZA,"[Verse 1]
I wanna go, so, what'd you say
When you gonna let me know
If you give a damn about me?
'Cause you got my hands tied
In my defense, I always fall for confidence
And your compliments look good on me

[Pre-Hook]
'Cause nobody knows it better
Than the girl in the corner
With the Scarlet Letter
And while you're watching
You may think that she doesn't matter
But no one knows you better

[Hook]
Oh yeah
I wanna dance
I wanna dance, dance, dance with you- you
So, take a chance
Take a chance
Oh yeah
I wanna dance
I wanna dance, dance, dance with you- you
So, take a chance
So, take a chance
Oh yeah

[Post-Hook]
Oh yeah
Oh yeah
Oh yeah
Oh yeah

[Bridge]
I need a sign or a signal
I've overthought everything I can think of into symbol
I need the coat and your jacket
And the remnants of your cigarette packet

[Verse 2]
I wanna go, so, what'd you say
When you gonna let me know
If you give a damn about me?
'Cause you got my hands tied
In my defense, I always fall for confidence
And your compliments look good on me

[Pre-Hook]
'Cause nobody knows it better
Than the girl in the corner
With the Scarlet Letter
And while you're watching
You may think that she doesn't matter
But no one knows you better

[Hook (Variation)]
I wanna dance, I wanna dance, I wanna dance with you- you
So, take a chance
Take a chance
Oh yeah
I wanna dance, I wanna dance, I wanna dance with you- you
I wanna dance, I wanna dance
Oh yeah

[Post-Hook]
Oh yeah
Oh yeah
Oh yeah
Oh yeah
Oh yeah
Oh yeah
Oh yeah
Oh yeah
"
2,24008,Be Together,Michael Aasen,"You got a fast car
And I got a plan to get us out of here
I been working at the convenience store
Managed to save just a little bit of money
We won't have to drive too far
Just 'cross the border and into the city
You and I can both get jobs
And finally see what it means to be living
You see my old man's got a problem
He live with the bottle that's the way it is
He says his body's too old for working
I say his body's too young to look like his
My mama went off and left him
She wanted more from life than he could give
I said somebody's got to take care of him
So I quit school and that's what I did
You got a fast car
But is it fast enough so we can fly away
We gotta make a decision
We leave tonight or live and die this way
I remember we were driving driving in your car
The speed so fast I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped 'round my shoulder
And I had a feeling that I belonged
And I had a feeling
I could be someone, be someone, be someone
You got a fast car
And we go cruising to entertain ourselves
You still ain't got a job
And I work in a market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
We'll move out of the shelter
Buy a big house and live in the suburbs
You got a fast car
And I got a job that pays all our bills
You stay out drinking late at the bar
See more of your friends than you do of your kids
I'd always hoped for better
Thought maybe together you and me would find it
I got no plans I ain't going nowhere
So take your fast car and keep on driving
You got a fast car
But is it fast enough so you can fly away
You gotta make a decision
You leave tonight or live and die this way
"
3,24022,Blue Sky,Feenixpawl,"Blue sky and the wind in my hair
White clouds and the sunlight is here again
Take my hand, hey, where have you been?
We'll be alright, boy, now I see clearly

And I'll take the wheel
I can feel it in the air
This time we'll be for real

[Chorus x3]
You know I found the ways to get you back
We're headed for the surface, are you feeling that?
Let's start over again, forget the sorrow
We can't stop

Blue sky and the wind in my hair
White clouds and the sunlight is here again
Take my hand, hey, where have you been?
We'll be alright, boy, now I see clearly

And I'll take the wheel
I can feel it in the air
This time we'll be for real

[Chorus x3]
You know I found the ways to get you back
We're headed for the surface, are you feeling that?
Let's start over again, forget the sorrow
We can't stop
"
4,24010,Games Continued,Bakermat,"[Verse]
You got the gun
I’ve got the flower
You’ve got your pride
I’ve got my shame
You’ve got your luck
What the hell is mine
but you’re Dark
And I’m Bright

[Chorus]
I’m not the flame
And you are the first
Let me explode let me burst
Let me shout shout shout shout shout shout shout
Let me shout shout
Let me shout shout shout shout shout shout shout
Let me shout shout

[Bridge]
Funniest game
Strongest pain
Hardest time
Hardest time
"
5,24033,Souls,Borgeous,"Wake me up
I’ve been here before
Through flames of dust
See I can’t breathe at all

So come what you came for
What you came for
Say what you want to say
And don’t be afraid
Don’t be afraid no
To take what you want to take

All these souls
How many others have you stole
How many others have you taken to the dark side
While I was buried in your blue eyes

And all my souls
How many others have you stole
How many others have you taken to the dark side
While I was clinging on for dear life
Oh my…

While I was clinging on for dear life

Let me go
I won’t live forever
And when you’re gone
I can force me back together

So come what you came for
What you came for
Say what you want to say
And don’t be afraid
Don’t be afraid no
To take what you want to take

All these souls
How many others have you stole
How many others have you taken to the dark side
While I was buried in your blue eyes

And all my souls
How many others have you stole
How many others have you taken to the dark side
While I was clinging on for dear life
Oh my…

While I was clinging on for dear life
"
6,24042,Hey Hey,BYNON,"So wrong to leave
See the world in broken frames
But I've been on your side

You've lost all faith
Hang your cloud up over me
Still I hold you tight

I want to float away
I want to find a place of my own, my own
I'm feeling high and I won't let bring me down anymore
1,2,3,4

Hey, hey get out the way
You can't rain on my parade
Hey, hey get out the way
Don't care what you say now

Hey, hey get out the way
You can't rain on my parade
Hey, hey get out the way
Don't care what you say
Hey!

Don't care what you say
Hey!

Don't care what you say
Hey!

Gave up again
Hang your head, put up your hands
But I won't fight your fights

Blue skies for me
Parked clouds for my escape
So I'll let go this time

I want to float away
I want to find a place of my own, my own
I'm feeling high and I won't let bring me down anymore
(Won't bring me down anymore)
1,2,3,4

Hey, hey get out the way
You can't rain on my parade
Hey, hey get out the way
Don't care what you say now

Hey, hey get out the way
You can't rain on my parade
Hey, hey get out the way
Don't care what you say
Hey!

Don't care what you say
Hey!

Don't care what you say
Hey!

Don't care what you say
Hey!

Don't care what you say
Hey!

I want to float away
I want to find a place of my own
I'm feeling high and I won't let bring me down anymore
"
7,24012,Lost,Nathan Grisdale,"You lost my trust, when you faded away
I couldn't bare it, when i saw you with him that day
You looked so happy, you was never like that with me
Some things happen for a reason, we were never meant to be

Oh no, so where we gonna go from here?
I don't wanna shed another tear
I don't wanna do this anymore
I don't wanna start another war
Lose it, listen to the music

Lost, lost in your eyes
I'm done with words but its no surprise
Sick of the bullshit and all of the lies
I just gotta forget you somehow
Oh well I'm lost, lost in your eyes
I'm done with words but its no surprise
Sick of the bullshit and all of the lies
I just gotta forget you somehow

Before I saw you I got butterflies
When I was with you time started to fly
Now you're gone and I don't know why, but bye
And now that we're strangers with those memories
The things we had drifted overseas
Now I'm moving on out of your life
(I don't wanna do this anymore)

Oh no, so where we gonna go from here?
I don't wanna shed another tear
I don't wanna do this anymore
I don't wanna start another war
Lose it, listen to the music

Lost, lost in your eyes
I'm done with words but its no surprise
Sick of the bullshit and all of the lies
I just gotta forget you somehow
Oh well I'm lost, lost in your eyes
I'm done with words but its no surprise
Sick of the bullshit and all of the lies
I just gotta forget you somehow

That was in the past, its time to let you go
I need to tell you something
I want to let you know that:
Everything we went through, I will never regret
Every secret that we shared, I will never forget

I'm lost, lost in your eyes
I'm done with words but its no surprise
Sick of the bullshit and all of the lies
I just gotta forget you somehow
Oh well I'm lost, lost in your eyes
I'm done with words but its no surprise
Sick of the bullshit and all of the lies
I just gotta forget you somehow

Lost, lost in your eyes
My trust, where we gonna go from here?
Lose it, got to forget you some how
Lost lost in your eyes
I'm done with words but its not a surprise
Sick of the bullshit and all of the lies
I just got to forget you somehow
(lost, lost, lost)
"
8,24007,Milky Way,Madison Mars,
9,24030,People,Kav Verhouzer,"[Intro]
Ay, yay, a-ay yay
Ay, yay, a-ay yay
Ay, yay, a-ay yay
Ay, yay, a-ay yay

[Chorus]
Always when the people party on the beat, beat, party with people
Always when the people party on the beat, beat, party with people
Always when the people party on the beat, beat, party with people
Always when the people party on the beat, beat, party with people
Beat, beat party with–
Beat, beat party with–
Beat, beat party with people

[Post-Chorus]
Beat, beat party with people
Hey, nothing really matters but you
But you, but you (Ay, yay)
Hey, nothing really matters but you
But you, but you (Ay, yay)

[Verse]
When we dance, all eyes on you
Cheek to cheek, that's how we do
Rollin' dices, rockin' shoes
When she dance, ain't no chance to cut her loose
'Cause

[Chorus]
Always when the people party on the beat, beat party with people
Always when the people party on the beat, beat party with people
Always when the people party on the beat, beat party with people
Always when the people party on the beat, beat party with people
Beat, beat party with people

[Post-Chorus]
Hey, nothing really matters but you
Hey, nothing really matters but you
Beat, beat party with people

[Outro]
Ay, yay, a-ay yay
Ay, yay, a-ay yay
Ay, yay, a-ay yay
Ay, yay
Beat, beat party with people
"
