,Unnamed: 0,track_name,track_artist,lyrics
10,21014,Cut the Line,Joss Stone,"[Intro]
Ooh, ooh, ooh
Ooh, ooh, ooh, ooh-ooh-ooh
Ooh, ooh, ooh

[Verse 1]
What am I talking about?
Got too much to say, got too much to shout
Should I write it in capital letters?
You can figure it out
Why make a noise if you're deaf to my words?
You think it's a ploy and I'm testin' your hurt
How can I show you the truth if your turn away when I'm bruised?

[Pre-Chorus]
Someone cut the line of communication
Someone cut the line, someone cut the line
No other explanation, hmm

[Chorus]
I can't get in, I can't get out
I can't get over how you're shuttin' me out
(Shuttin' me out, shuttin' me out)
If I'm to blame then help me understand
You can't complain when you're shuttin' me out
(Shuttin' me out, shuttin' me out)

[Verse 2]
Is it serious to say or serious to sing?
I notice that whenever the melody ring
You take a sentiment and pop it in the bin
And start jammin'
Your subliminal took note of all the things you don't
Your intelligence is oblivious to so much, so much, so
You close so tight that

[Chorus]
I can't get in, I can't get out
I can't get over how you're shuttin' me out
(Shuttin' me out, shuttin' me out)
If I'm to blame then help me understand
You can't complain when you're shuttin' me out
(Shuttin' me out, shuttin' me out)

[Bridge]
How do you propose that we go?
Forward, backward, left or right?
And know how to continue on this path at all?
Why can't you see I'm in love with you?
Can you step out of your cubbyhole
And hold me tight? Speak your mind
As we roll on through life
It'll be alright if you're by my side
Let go and try
Let me in so I can sit by your side for the rest of our lives
Get that broken line and tie
Tie it up tight and mend it

[Pre-Chorus]
Someone cut the line, someone cut the line
(Someone cut the line, someone cut the line)
Someone went and cut our line
We gotta mend it

[Chorus]
I can't get in, I can't get out
I can't get over how you're shuttin' me out
(Shuttin' me out, shuttin' me out)
Shuttin' me out
If I'm to blame, help me understand
You can't complain when you're shuttin' me out
(Shuttin' me out, shuttin' me out)
Shuttin' me down

[Outro]
(Ooh, ooh, ooh)
What am I supposed to do with that?
Where are we gonna go with that?
(Ooh, ooh, ooh, ooh-ooh-ooh)
Nowhere
Nowhere good
(Ooh, ooh, ooh)
What am I supposed to do with that?
Where are we gonna go, baby
If you won't talk to me, love?
Hey, hey
Ooh-ooh, ooh-ooh
La-da, da-da, da-da
Shout me out
La-da, da-da, da-da
Where we gonna go now?
Don't shut me out
Don't shut me out
"
11,21002,How Do I Let a Good Man Down?,Sharon Jones & The Dap-Kings,"[Verse 1]
See we've been getting on
So good so far for so long
No, you never hurt me
No, you never gone and done me wrong

[Pre-Chorus 1]
I know that something just ain't no good
But you always do exactly what you should
So tell me?

[Chorus 1]
How do I let a good man down?
How do I let a good man down?

[Verse 2]
You gotta believe me
I didn't mean to find nobody else
I don't wanna hurt you
But I gotta do right by myself

[Pre-Chorus 2]
You make me happy, but he gives me thrills
You give me comfort, but he gives me chills
So tell me?

[Chorus 1]
How do I let a good man down?
How do I let a good man down?

[Verse 3]
I know that it's crazy
To walk away from such a good thing
But I'm gonna gamble
And I bet that this ain't just a fling

[Pre-Chorus 3]
I can't have my cake and eat it too
So I gotta get up and walk out on you
Please tell me?

[Chorus 2]
How do I let a good man down?
How do I let a good man down?

[Outro]
How, how do I let him down
I said, I, I gotta let him down
I said, I, I gotta let him down
How do I
How do I let a good man down?
How do I
How do I let a good man down?
I gotta let him down
I gotta let him down
I gotta let him down
I gotta let him down
"
12,21029,Window Seat,Erykah Badu,"[Intro]
Hey
Hey
Ohh, ohh, ohhh
Fell in love

[Verse 1]
So, presently I'm standing
Here right now, you're so demanding
Tell me what you want from me
Concluding, concentrating on my music, lover, and my babies
Make me wanna ask a lady for a ticket outta town

[Hook]
So can I get a window seat?
Don't want nobody next to me
I just want a ticket outta town
A look around and a safe touch down
Can I get a window seat? (Oh, oh)
Don't want nobody next to me
I just want a chance to fly
A chance to cry, and a long bye-bye
Oh, oh
Oh, oh

[Post Hook 1]
But I, I need you to want me
I need you to miss me
I, I need yo' attention, yes
I need you next to me
Oh I, I need someone to clap for me (Mm-hmm)
I need your direction

[Bridge]
Somebody say come back
Come back, baby, come back
(I want you to need me)
Come back, come back, baby, come back (Baby)
Come back, come back, baby, come back (Want you to need me)
Come back, come back, baby, come back (Need me, ah)

[Verse 2]
So, out my mind I'm tusslin'
Back and forth 'tween here and hustlin'
I don't wanna time travel no mo'
I wanna be here, my thinkin'
Say, on this porch I'm rockin'
Back and forth like Lightnin' Hopkins
So if anybody speak to Scotty
Tell him, ""Beam me up!""

[Hook]
So can I get a window seat? (Hey)
Don't want nobody next to me
I just want a ticket outta town
A look around and a safe touch down
Can I get a window seat? (Oh, oh)
Don't want nobody next to me (Hey)
I just want a chance to fly
A chance to cry, and a long bye-bye
Oh, oh
Oh, oh, oh-oh

[Post Hook 2]
But I, I need you to miss me
I need somebody, come get me, ooh
I need your attention, yes
And I need your energy and I do
Oh, oh, I, I need someone to clap for me (Uh)
And I need your direction

[Bridge]
Somebody say come back (Hey)
Come back, baby, come back
(I want you to need me)
Come back, come back, baby, come back
Come back, come back, baby, come back (Come look for me, say)
Come back, come back, baby, come back (Hey, hey)

[Hook]
So can I get a window seat?
Don't want nobody next to me
I just want a ticket outta town
A look around and a safe touch down
Oh, oh
I just want a chance to fly
A chance to cry, and a long bye-bye

[Outro]
They play it safe, are quick to assassinate what they do not understand. They move in packs ingesting more and more fear with every act of hate on one another. They feel most comfortable in groups, less guilt to swallow. They are us. This is what we have become. Afraid to respect the individual. A single person within a circumstance can move one to change. To love herself. To evolve
"
13,21015,Stand In The Way,Timothy Bloom,"[Verse 1]
There it is right there, out far in the distance
I can see it so clear, it's what I've been missing
I'm like the rolling stone, it's coming down heavy
Just to get to your love babe, yea you better get ready

[Pre-Chorus 1]
Nothing's going to get in my way
Its what I'm yearning, the fires burning
I've wandered through harder days
Baby I need you! Baby I need you!

[Chorus]
You can't stand, you can't stand
Nothing's gonna stand in the way of my love
Try as hard as you can
Nothing's gonna stand in the way of my love
My love, my love
You can't stand, you can't stand
Nothing's gonna stand in the way of my love

[Verse 2]
I'm afraid I might lose my mind, and do something crazy
Pull the moon down out of the sky, until you love me baby
I'm like the raging sea, the scorch of a summer
Nothing like the devil, but I'm bound to take you under

[Pre-Chorus 2]
Nothing's going to get in my way
The wheels are turning, I'm still determined
It's only just a matter of days
You gonna want me, like I want you

[Chorus]
You can't stand, you can't stand
Nothing's gonna stand in the way of my love
Try as hard as you can
Nothing's gonna stand in the way of my love
My love, my love
You can't stand, you can't stand
Nothing's gonna stand in the way of my love

[Bridge: Instrumental + vocals]
My love, my love
My love, my love

[Chorus]
You can't stand, you can't stand
Nothing's gonna stand in the way of my love
Try as hard as you can
Nothing's gonna stand in the way of my love
My love, my love
You can't stand, you can't stand
Nothing's gonna stand in the way of my love

You can't stand, you can't stand
Nothing's gonna stand in the way of my love
Try as hard as you can
Nothing's gonna stand in the way of my love
My love, my love
You can't stand, you can't stand
Nothing's gonna stand in the way of my love
"
14,21018,single,Musiq Soulchild,"Woke up this morning
Smelled the breakfast in the air
Hopped in the shower
Would have got dressed but I undressed my girl instead

We did some things
Got some food and now I'm on my way to work
Got into my car, started up
Drove off, now I'm on the road

That's when I pulled up to this gas station
And got into this conversation
With this girl I could tell she wanted me but, oh

If I met you when I was single
We probably could have been something more
'Cause you're beautiful but you should know
That I found my girl and I know I love her, so I gotta go

She cracked a smile
And she said she understood
And I sympathize
'Cause every man she had was never any good

It's so amazing
How much you could learn in just a bit of time
Like how I see me and her in my mind

That's why I need to pull out of this gas station
'Cause after this conversation with you, girl
I might just do something I don't wanna do 'cause

If I met you when I was single
We probably could have been something more
'Cause you're beautiful but you should know
That I found my girl and I know I love her, so I gotta go

And I know it's such a shame
You can't even entertain the things you feel
Don't feel bad 'cause I feel the same
It would just be wasted time
Trying to find if life's greener on the other side

If I met you when I was single
We probably could have been something more
'Cause you're beautiful but you should know
That I found my girl and I know I love her
So I just gotta go go

Said I gotta go
It's nice to meet you but I
But I just gotta go

If I met you when I was single
We probably could have been something more
'Cause you're beautiful, yeah but you should know
That I found my girl and I know I love her so, I gotta go
"
15,21027,Get It Together,India.Arie,"[Verse 1: India.Arie]
One shot to your heart without breaking your skin
No one has the power to hurt you like your kin
Kept it inside, didn't tell no one else
Didn't even wanna admit it to yourself
And now your chest burns and your back aches
From 15 years of holding the pain
And now you only have yourself to blame
If you continue to live this way

[Hook]
Get it together
You wanna heal your body
Get it together
You have to heal your heart
Whatsoever you sow you will reap
Get it together

You can fly, fly

[Verse 2: India.Arie]
Dark future ahead of me
That's what they said
I'd be starving if I ate all the lies they fed
'Cause I've been redeemed from your anguish and pain
A miracle child I'm floating on a cloud
'Cause the words that come from your mouth
You're the first to hear
Speak words of beauty and you will be there
No matter what anybody says
What matters the most is what you think of yourself

[Hook]
Get it together
You wanna heal your body
Get it together
You have to heal your heart
Whatsoever you sow you will reap
Get it together

[Bridge]
The choice is yours
No matter what it is
To choose life is to choose to forgive
You don't have to try
To hurt him and break his pride
To shake that weight off
And you will be ready to fly

[Verse 3: India.Arie]
One shot to your heart without breaking your skin
No one has the power to hurt you like your friends
Thought it will never change but as time moved on
That ugly duckling grew up to be a swan
And now your chest burns and your back aches
Because now the years are showing up on your face
But you'll never be happy
And you'll never be whole
Until you see the beauty in growing old

[Hook]
Get it together
You wanna heal your body
Get it together
You have to heal your heart
Whatsoever you sow you will reap
Get it together

[Outro]
You can fly, fly, fly, fly
You can live or you can die
You know that life is a choice you make
You can give or you can take
You can fly, fly, fly, fly
You can fly, fly, fly, fly
You can fly, fly, fly, fly
You can fly, fly, fly, fly
"
16,21012,Season's Trees,Danger Mouse,"Every girl gets her dreams
Cast into reality
Never seemed to bother me
Only just recently

'Cause you seem to believe
That we'll never be free
Always gonna be needing

Can't we be
Like the season's trees
Changeably
Just not so easily

All in all we're the same
Jumping through hoops of flames
Sounds fun, what a dangerous game
Pretty picture trapped in frame

But you seem to behave
Like we'll always be slaves
Never running away

Can't we be
Like the season's trees
Changeably
Just not too easily

'Cause you seem to believe
That we'll never be free
Always gonna be needing

Can't we be
Like the season's trees
Changeably
Just not so easily
"
17,21028,Headed In The Right Direction,India.Arie,"Headed in the right direction
I can see the light of day
I've got love as my connection
There's an angel showing me the way

Been reaching for love all my life
I couldn't find it always one step behind it
Now I know it was mine all the time finally I am

Headed in the right direction
I can see the light of day
I've got love as my protection
There's no need for me to be afraid

I spend so much time with my head in the clouds
Now that I've got my feet on the ground
I found that I am

Headed in the right direction
I can see the light of day
I've got faith and intuition telling me that I will be okay

Down the path that I walked there was eyes
Somebody told me that I look like I'm glowing
They just dried all the tears from my eyes now I can see that

Headed in the right direction
I can see the light of day
Now I've found my pearl of wisdom
There's no need for me to be afraid

Headed in the right direction
There's an angel showing me the way
I have found my inspiration
Headed in the right direction
"
18,21025,Slow Down,India.Arie,"So far from where I started out
So far from where I wanna be
Listening for answers in the wind
But can't find a rock to plant my feet
Looking for love in all the wrong places
Down on my knees and now I'm praying for patience
I know there's gotta be a better way
In the back of my mind I hear my momma say

Slow down, Baby you're going too fast
You got you hands in the air
With you feet on the gas
You're 'bout to wreck your future
Running from your past
You need to slow down baby

Thinking the faster that I go
The faster (that) I will reach my goal
The race is not given to the swift
But to him who endureth
I thought that all my obstacles were behind me
Walking around like I'm made out of diamond
I tripped and fell and it reminded me
Move over and let the angels guide me

Slow down, Baby you're going too fast
You got you hands in the air
With you feet on the gas
You're 'bout to wreck your future
Running from your past
You need to slow down baby

Sometimes you gotta be still
Before you can get ahead
Be still
Ask the universe for help
Be real
You can't do it all by yourself
Ah, no no
Sometimes, sometimes you gotta be still
Take some time to rejuvenate
Be still
Take some time to clear your space
Be real
Chaos isn't good for your health
Ah, no no, ahhh
Cuz I'm breaking things and losing things
I lost myself at the end of the day
Now, I don't wanna live this way, no
In the back of my mind I hear my mama say

Slow down, Baby you're going too fast
You got you hands in the air
With you feet on the gas
You're 'bout to wreck your future
Running from your past
You need to slow down before
You go down baby
(Slow down baby)
Slow down (baby)
You're going too fast
Slow down (baby)
Feet on the gas
Slow down (baby)
Run from your past
Slow down baby (4x)
"
19,21039,Arroz Con Pollo,Maxwell,
